process,commodity,desc,attribute,limtype,region,year,serie,transformation,ts_level,target_sheet
,INDCONEMDMD,Construction,COM_FR,,DKE,2010,Construction,,daynite,ind_dem
,INDCONTRDMD,Construction,COM_FR,,DKE,2010,Construction,,daynite,ind_dem
,INDCONRHDMD,Construction,COM_FR,,DKE,2010,Construction,,daynite,ind_dem
,INDCONHTDMD,Construction,COM_FR,,DKE,2010,Construction,,daynite,ind_dem
,INDCONLADMD,Construction,COM_FR,,DKE,2010,Construction,,daynite,ind_dem
,INDCONMTDMD,Construction,COM_FR,,DKE,2010,Construction,,daynite,ind_dem
,INDAGREMDMD,Agriculture,COM_FR,,DKE,2010,Agriculture,,daynite,ind_dem
,INDAGRTRDMD,Agriculture,COM_FR,,DKE,2010,Agriculture,,daynite,ind_dem
,INDAGRRHDMD,Agriculture,COM_FR,,DKE,2010,Agriculture,,daynite,ind_dem
,INDAGRHTDMD,Agriculture,COM_FR,,DKE,2010,Agriculture,,daynite,ind_dem
,INDAGRLADMD,Agriculture,COM_FR,,DKE,2010,Agriculture,,daynite,ind_dem
,INDAGRMTDMD,Agriculture,COM_FR,,DKE,2010,Agriculture,,daynite,ind_dem
,INDFODEMDMD,Food,COM_FR,,DKE,2010,Food,,daynite,ind_dem
,INDFODTRDMD,Food,COM_FR,,DKE,2010,Food,,daynite,ind_dem
,INDFODRHDMD,Food,COM_FR,,DKE,2010,Food,,daynite,ind_dem
,INDFODHTDMD,Food,COM_FR,,DKE,2010,Food,,daynite,ind_dem
,INDFODLADMD,Food,COM_FR,,DKE,2010,Food,,daynite,ind_dem
,INDFODMTDMD,Food,COM_FR,,DKE,2010,Food,,daynite,ind_dem
,INDCHEEMDMD,Chemical,COM_FR,,DKE,2010,Chemical,,daynite,ind_dem
,INDCHETRDMD,Chemical,COM_FR,,DKE,2010,Chemical,,daynite,ind_dem
,INDCHERHDMD,Chemical,COM_FR,,DKE,2010,Chemical,,daynite,ind_dem
,INDCHEHTDMD,Chemical,COM_FR,,DKE,2010,Chemical,,daynite,ind_dem
,INDCHELADMD,Chemical,COM_FR,,DKE,2010,Chemical,,daynite,ind_dem
,INDCHEMTDMD,Chemical,COM_FR,,DKE,2010,Chemical,,daynite,ind_dem
,INDCEMEMDMD,Cement,COM_FR,,DKE,2010,Cement,,daynite,ind_dem
,INDCEMTRDMD,Cement,COM_FR,,DKE,2010,Cement,,daynite,ind_dem
,INDCEMRHDMD,Cement,COM_FR,,DKE,2010,Cement,,daynite,ind_dem
,INDCEMHTDMD,Cement,COM_FR,,DKE,2010,Cement,,daynite,ind_dem
,INDCEMLADMD,Cement,COM_FR,,DKE,2010,Cement,,daynite,ind_dem
,INDCEMMTDMD,Cement,COM_FR,,DKE,2010,Cement,,daynite,ind_dem
,INDMETEMDMD,Metal,COM_FR,,DKE,2010,Metal,,daynite,ind_dem
,INDMETTRDMD,Metal,COM_FR,,DKE,2010,Metal,,daynite,ind_dem
,INDMETRHDMD,Metal,COM_FR,,DKE,2010,Metal,,daynite,ind_dem
,INDMETHTDMD,Metal,COM_FR,,DKE,2010,Metal,,daynite,ind_dem
,INDMETLADMD,Metal,COM_FR,,DKE,2010,Metal,,daynite,ind_dem
,INDMETMTDMD,Metal,COM_FR,,DKE,2010,Metal,,daynite,ind_dem
